 ,Label,Mean,Min,Max,Median
1,C3-MAX_PC3_230925_CMYC_igg_ON_wash_1_MMStack_Pos0.ome-1-1-1.tif:0001-0144,246.735,192,475,244
2,C3-MAX_PC3_230925_CMYC_igg_ON_wash_1_MMStack_Pos0.ome-1-1-1.tif:0002-0429,245.010,189,645,242
3,C3-MAX_PC3_230925_CMYC_igg_ON_wash_1_MMStack_Pos0.ome-1-1-1.tif:0004-0491,243.300,187,608,239
4,C3-MAX_PC3_230925_CMYC_igg_ON_wash_1_MMStack_Pos0.ome-1-1-1.tif:0006-0766,275.857,207,865,271
5,C3-MAX_PC3_230925_CMYC_igg_ON_wash_1_MMStack_Pos0.ome-1-1-1.tif:0007-0875,244.401,195,502,241
6,C3-MAX_PC3_230925_CMYC_igg_ON_wash_1_MMStack_Pos0.ome-1-1-1.tif:0008-1056,268.981,202,614,264
7,C3-MAX_PC3_230925_CMYC_igg_ON_wash_1_MMStack_Pos0.ome-1-1-1.tif:0009-1087,262.395,195,512,260
8,C3-MAX_PC3_230925_CMYC_igg_ON_wash_1_MMStack_Pos0.ome-1-1-1.tif:a,257.058,198,509,254
9,C3-MAX_PC3_230925_MycMAX_ON_wash_10_MMStack_Pos0.ome-1-1.tif:0001-0223,348.271,227,1502,336
10,C3-MAX_PC3_230925_MycMAX_ON_wash_10_MMStack_Pos0.ome-1-1.tif:0002-0470,317.606,217,904,308
11,C3-MAX_PC3_230925_MycMAX_ON_wash_10_MMStack_Pos0.ome-1-1.tif:0003-0478,317.967,220,1247,308
12,C3-MAX_PC3_230925_MycMAX_ON_wash_10_MMStack_Pos0.ome-1-1.tif:0004-0760,432.118,250,1648,418
13,C3-MAX_PC3_230925_MycMAX_ON_wash_10_MMStack_Pos0.ome-1-1.tif:0005-0740,358.088,255,804,357
14,C3-MAX_PC3_230925_MycMAX_ON_wash_10_MMStack_Pos0.ome-1-1.tif:0006-0846,329.041,221,983,319
15,C3-MAX_PC3_230925_MycMAX_ON_wash_10_MMStack_Pos0.ome-1-1.tif:0007-0851,315.532,232,524,314
16,C3-MAX_PC3_230925_MycMAX_ON_wash_10_MMStack_Pos0.ome-1-1.tif:0008-1022,332.078,249,581,329
17,C3-MAX_PC3_230925_MycMAX_ON_wash_10_MMStack_Pos0.ome-1-1.tif:0009-1211,351.233,224,1086,346
18,C3-MAX_PC3_230925_MycMAX_ON_wash_10_MMStack_Pos0.ome-1-1.tif:0010-1307,331.643,233,1038,324
19,C3-MAX_PC3_230925_MycMAX_ON_wash_10_MMStack_Pos0.ome-1-1.tif:b,313.757,228,906,307
20,C3-MAX_PC3_230925_IGG_On_wash_1_MMStack_Pos0.ome-1-1-1.tif:0001-0048,258.937,204,478,257
21,C3-MAX_PC3_230925_IGG_On_wash_1_MMStack_Pos0.ome-1-1-1.tif:0002-0308,275.938,208,730,270
22,C3-MAX_PC3_230925_IGG_On_wash_1_MMStack_Pos0.ome-1-1-1.tif:0003-0552,267.029,207,996,262
23,C3-MAX_PC3_230925_IGG_On_wash_1_MMStack_Pos0.ome-1-1-1.tif:0004-0629,286.298,211,1287,276
24,C3-MAX_PC3_230925_IGG_On_wash_1_MMStack_Pos0.ome-1-1-1.tif:0005-0738,253.333,197,593,251
25,C3-MAX_PC3_230925_IGG_On_wash_1_MMStack_Pos0.ome-1-1-1.tif:0006-0714,252.963,213,352,252
26,C3-MAX_PC3_230925_IGG_On_wash_1_MMStack_Pos0.ome-1-1-1.tif:0007-0958,285.719,212,644,279
27,C3-MAX_PC3_230925_IGG_On_wash_1_MMStack_Pos0.ome-1-1-1.tif:0008-1026,266.693,198,654,263
28,C3-MAX_PC3_230925_IGG_On_wash_1_MMStack_Pos0.ome-1-1-1.tif:0009-1296,256.807,195,715,254
29,C3-MAX_PC3_230925_IGG_On_wash_1_MMStack_Pos0.ome-1-1-1.tif:0010-1327,252.591,202,507,250
