Label,Parent,Cyto,Background,Nuclei
1,4,155.81120356021117,1.1122624799681902,232.1615363965818
2,1,173.1445009726933,1.1122624799681902,234.61789478869076
3,4,156.6979932839746,1.1122624799681902,245.86984559491373
4,1,174.7180428165178,1.1122624799681902,228.30399338374292
5,7,74.68647098469114,1.1122624799681902,195.6462547652574
6,8,136.91899005832937,1.1122624799681902,189.8250576239403
7,7,94.86711207118833,1.1122624799681902,189.20333906483998
8,3,38.0,1.1122624799681902,239.29646137223122
9,1,175.26640983223794,1.1122624799681902,226.5640983926596
10,8,144.32957587367076,1.1122624799681902,172.90662071176658
11,4,162.07273710500016,1.1122624799681902,189.46775389177168
